mintime,lat,lon,alt,velocity,heading,vertrate,nic,nac,icao24
2019-09-17 07:01:11.592,35.0711975097656,-117.31313277264,4061.46,80.2549128420362,270.367275607338,-0.102154355597366,9,0.314205079962371,ae0943
2019-09-17 07:01:11.698,35.0711990615069,-117.31315612793,4061.46,80.2549128420362,270.367275607338,-0.134574600188147,9,0.413922859830668,ae0943
2019-09-17 07:01:12.135,35.0711990615069,-117.313556671143,4061.46,80.2549128420362,270.367275607338,-0.268231646284102,9,0.825023518344309,ae0943
2019-09-17 07:01:12.161,35.0711975097656,-117.313581194196,4061.46,80.2549128420362,270.367275607338,-0.276183781749765,9,0.849482596425212,ae0943
2019-09-17 07:01:12.504,35.0711975097656,-117.313973563058,4061.46,80.2561922604224,270.462267496056,-0.409215704387991,9,0,ae0943
2019-09-17 07:01:12.709,35.0711990615069,-117.313957214355,4061.46,80.2585340530042,270.636136578083,-0.563140877598152,9,0,ae0943
2019-09-17 07:01:13.613,35.0712432861328,-117.315038564254,4061.46,80.2598591649041,270.734521034255,-0.65024,9,1,ae0943
2019-09-17 07:01:13.802,35.0712456137447,-117.315044403076,4061.46,80.2598591649041,270.734521034255,-0.65024,9,1,ae0943
2019-09-17 07:01:14.162,35.0712456137447,-117.315502166748,4061.46,80.2598591649041,270.734521034255,-0.65024,9,1,ae0943
2019-09-17 07:01:14.251,35.0712432861328,-117.31548698581,4061.46,80.2598591649041,270.734521034255,-0.65024,9,1,ae0943
2019-09-17 07:01:15.625,35.0712432861328,-117.3166080397,4061.46,80.2642187098262,270.928712731706,-1.16607472164948,9,0.528865979381443,ae0943
2019-09-17 07:01:15.710,35.0712456137447,-117.316589355469,4061.46,80.2645798807018,270.944800737831,-1.20880956701031,9,0.572680412371134,ae0943
2019-09-17 07:01:16.539,35.0712890625,-117.317504882812,4053.84,80.2681023590063,271.101706115206,-1.6256,9,1,ae0943
2019-09-17 07:01:16.642,35.0712921659825,-117.317504882812,4053.84,80.2681023590063,271.101706115206,-1.6256,9,0,ae0943
2019-09-17 07:01:17.986,35.0712890625,-117.318738042092,4053.84,80.2681023590063,271.101706115206,-1.6256,9,0,ae0943
2019-09-17 07:01:18.123,35.0712921659825,-117.31876373291,4053.84,80.2681023590063,271.101706115206,-1.6256,9,0,ae0943
2019-09-17 07:01:18.375,35.0712921659825,-117.319164276123,4053.84,80.2681023590063,271.101706115206,-1.6256,9,0,ae0943
2019-09-17 07:01:18.440,35.0712890625,-117.319186463648,4053.84,80.2681023590063,271.101706115206,-1.6256,9,0,ae0943
2019-09-17 07:01:19.284,35.0712921659825,-117.319850921631,4053.84,80.2726864514513,271.24754096417,-1.88391938797814,9,1,ae0943
2019-09-17 07:01:19.317,35.0712890625,-117.319859095982,4053.84,80.2728945326765,271.254160702844,-1.8956450273224,9,1,ae0943
2019-09-17 07:01:20.204,35.0713348388672,-117.320643833705,4053.84,80.278487503789,271.432091254468,-2.210816,9,1,ae0943
2019-09-17 07:01:20.332,35.0713387182203,-117.320652008057,4053.84,80.2792946067229,271.457767816596,-2.25629726775956,9,1,ae0943
2019-09-17 07:01:22.391,35.0713806152344,-117.322605678013,4046.22,80.2796414087648,271.468800714386,-1.95101992619926,9,1,ae0943
2019-09-17 07:01:22.440,35.0713852704582,-117.322597503662,4046.22,80.2796414087648,271.468800714386,-1.95072,9,0.0204081632653061,ae0943
2019-09-17 07:01:23.319,35.0713806152344,-117.323502521126,4046.22,80.2796414087648,271.468800714386,-1.6256,9,1,ae0943
2019-09-17 07:01:23.374,35.0713852704582,-117.323513031006,4046.22,80.2796414087648,271.468800714386,-1.6256,9,0,ae0943
2019-09-17 07:01:24.624,35.0714114226794,-117.324476037481,4044.35909475989,74.3426225549863,272.006824552959,-1.35579360494239,9,0,ae0943
2019-09-17 07:01:25.624,35.071436836313,-117.325322482095,4043.10396450675,79.690877608494,272.195311258707,-1.15699184263036,9,0,ae0943
2019-09-17 07:01:26.624,35.0714662812695,-117.32621979983,4042.04006119204,83.6357087504755,272.396981920339,-0.973339728081946,9,0,ae0943
2019-09-17 07:01:27.624,35.0714996475452,-117.32715256103,4041.152235168,86.1769982426209,272.608642969162,-0.804837261297137,9,0,ae0943
2019-09-17 07:01:28.624,35.0715366619346,-117.328105339586,4040.42533678686,87.3145482203731,272.82697728356,-0.651484442275938,9,0,ae0943
2019-09-17 07:01:29.624,35.0715768700749,-117.329062714776,4039.84421640086,87.0480778167518,273.048534471693,-0.513281271018348,9,0,ae0943
2019-09-17 07:01:30.624,35.0716196256626,-117.330009273093,4039.39372436224,85.3772272745731,273.269726809026,-0.390227747524367,9,0,ae0943
2019-09-17 07:01:31.624,35.0716640873599,-117.330929609894,4039.05871102323,82.3015702928458,273.486830787341,-0.282323871793995,9,0,ae0943
2019-09-17 07:01:32.624,35.0717092239098,-117.331808330674,4038.82402673606,77.8206353527143,273.695994221929,-0.189569643827233,9,0,ae0943
2019-09-17 07:01:33.624,35.0717538279582,-117.332630051758,4038.67452185298,71.933936127253,273.893248856952,-0.111965063624079,9,0,ae0943
2019-09-17 07:01:34.529,35.0717926025391,-117.333311742666,4038.6,79.8731261310863,273.323120445135,-0.054792104283054,9,0.83147113594041,ae0943
2019-09-17 07:01:34.644,35.0718042405985,-117.333297729492,4038.6,79.8731261310863,273.323120445135,-0.0199794413407821,9,0.93854748603352,ae0943
2019-09-17 07:01:35.451,35.0718042405985,-117.334098815918,4038.6,79.7785281926602,273.262131319614,-0.056752685138539,9,0.17455919395466,ae0943
